,movie,year,imdb,metascore,votes,descriptions,n_imdb
2411,Despicable Me 2,(2013),7.4,62,348451,"
    When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",74.0
2412,Monsters University,(2013),7.3,65,296787,"
    A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.",73.0
2413,The Secret Life of Walter Mitty,(2013),7.3,54,277813,"
    When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",73.0
2414,The Hangover Part III,(2013),5.8,30,274595,"
    When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run.",58.0
2415,About Time,(I) (2013),7.8,55,269980,"
    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",78.0
2416,Lone Survivor,(2013),7.5,60,249431,"
    Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",75.0
2417,Snowpiercer,(2013),7.1,84,245965,"
    In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.",71.0
2418,Kick-Ass 2,(2013),6.5,41,241584,"
    Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.",65.0
2419,The World's End,(2013),7.0,81,239605,"
    Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.",70.0
2420,Olympus Has Fallen,(2013),6.5,41,239440,"
    Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",65.0
2421,Don Jon,(2013),6.5,66,218009,"
    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",65.0
2422,Escape Plan,(2013),6.7,49,214277,"
    When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",67.0
2423,Ender's Game,(2013),6.6,51,213307,"
    Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",66.0
2424,The Lone Ranger,(2013),6.4,37,210603,"
    Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",64.0
2425,Warm Bodies,(2013),6.9,60,210173,"
    After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",69.0
2426,Gangster Squad,(2013),6.7,40,197067,"
    It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",67.0
2427,White House Down,(2013),6.4,52,194123,"
    While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",64.0
2428,The Wolf of Wall Street,(2013),8.2,75,1054858,"
    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",82.0
2429,Gravity,(2013),7.7,96,719102,"
    Two astronauts work together to survive after an accident leaves them stranded in space.",77.0
2430,Iron Man 3,(2013),7.2,62,704554,"
    When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",72.0
2431,Man of Steel,(2013),7.1,55,654166,"
    Clark Kent is an alien who as a child was evacuated from his dying world and came to Earth, living as a normal human. But when survivors of his alien home invade Earth, he must reveal himself to the world.",71.0
2432,12 Years a Slave,(2013),8.1,96,585191,"
    In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",81.0
2433,The Hunger Games: Catching Fire,(2013),7.5,76,580789,"
    Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.",75.0
2434,The Hobbit: The Desolation of Smaug,(2013),7.8,66,570353,"
    The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",78.0
2435,World War Z,(2013),7.0,63,560191,"
    Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",70.0
2436,Now You See Me,(I) (2013),7.3,50,558922,"
    An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",73.0
2437,Thor: The Dark World,(2013),6.9,54,551424,"
    When Dr. Jane Foster (Natalie Portman) gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",69.0
2438,Prisoners,(2013),8.1,74,535975,"
    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",81.0
2439,Frozen,(I) (2013),7.5,74,523808,"
    When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",75.0
2440,Her,(2013),8.0,90,476240,"
    In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",80.0
2441,Oblivion,(I) (2013),7.0,54,458881,"
    A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.",70.0
2442,Star Trek Into Darkness,(2013),7.7,72,448095,"
    After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",77.0
2443,Pacific Rim,(2013),6.9,65,447394,"
    As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",69.0
2444,The Great Gatsby,(2013),7.3,55,439574,"
    A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",73.0
2445,American Hustle,(2013),7.2,90,422113,"
    A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",72.0
2446,Dallas Buyers Club,(2013),8.0,84,407024,"
    In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",80.0
2447,The Wolverine,(2013),6.7,61,406435,"
    Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",67.0
2448,The Conjuring,(2013),7.5,68,405627,"
    Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.",75.0
2449,Elysium,(I) (2013),6.6,61,399435,"
    In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",66.0
2450,Rush,(I) (2013),8.1,75,398597,"
    The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.",81.0
2451,Captain Phillips,(2013),7.8,83,391776,"
    The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",78.0
2452,We're the Millers,(2013),7.0,44,375874,"
    A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.",70.0
2453,This Is the End,(2013),6.6,67,364244,"
    6 Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",66.0
2454,Fast & Furious 6,(2013),7.1,61,350565,"
    Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",71.0
2455,Despicable Me 2,(2013),7.4,62,348451,"
    When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",74.0
2456,Monsters University,(2013),7.3,65,296787,"
    A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.",73.0
2457,The Secret Life of Walter Mitty,(2013),7.3,54,277813,"
    When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",73.0
2458,The Hangover Part III,(2013),5.8,30,274595,"
    When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run.",58.0
2459,About Time,(I) (2013),7.8,55,269980,"
    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",78.0
2460,Lone Survivor,(2013),7.5,60,249431,"
    Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",75.0
2461,Snowpiercer,(2013),7.1,84,245965,"
    In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.",71.0
2462,Kick-Ass 2,(2013),6.5,41,241584,"
    Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.",65.0
2463,The World's End,(2013),7.0,81,239605,"
    Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.",70.0
2464,Olympus Has Fallen,(2013),6.5,41,239440,"
    Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",65.0
2465,Don Jon,(2013),6.5,66,218009,"
    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",65.0
2466,Escape Plan,(2013),6.7,49,214277,"
    When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",67.0
2467,Ender's Game,(2013),6.6,51,213307,"
    Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",66.0
2468,The Lone Ranger,(2013),6.4,37,210603,"
    Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",64.0
2469,Warm Bodies,(2013),6.9,60,210173,"
    After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",69.0
2470,Gangster Squad,(2013),6.7,40,197067,"
    It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",67.0
2471,White House Down,(2013),6.4,52,194123,"
    While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",64.0
2472,The Wolf of Wall Street,(2013),8.2,75,1054858,"
    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",82.0
2473,Gravity,(2013),7.7,96,719102,"
    Two astronauts work together to survive after an accident leaves them stranded in space.",77.0
2474,Iron Man 3,(2013),7.2,62,704554,"
    When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",72.0
2475,Man of Steel,(2013),7.1,55,654166,"
    Clark Kent is an alien who as a child was evacuated from his dying world and came to Earth, living as a normal human. But when survivors of his alien home invade Earth, he must reveal himself to the world.",71.0
2476,12 Years a Slave,(2013),8.1,96,585191,"
    In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",81.0
2477,The Hunger Games: Catching Fire,(2013),7.5,76,580789,"
    Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.",75.0
2478,The Hobbit: The Desolation of Smaug,(2013),7.8,66,570353,"
    The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",78.0
2479,World War Z,(2013),7.0,63,560191,"
    Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",70.0
2480,Now You See Me,(I) (2013),7.3,50,558922,"
    An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",73.0
2481,Thor: The Dark World,(2013),6.9,54,551424,"
    When Dr. Jane Foster (Natalie Portman) gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",69.0
2482,Prisoners,(2013),8.1,74,535975,"
    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",81.0
2483,Frozen,(I) (2013),7.5,74,523808,"
    When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",75.0
2484,Her,(2013),8.0,90,476240,"
    In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",80.0
2485,Oblivion,(I) (2013),7.0,54,458881,"
    A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.",70.0
2486,Star Trek Into Darkness,(2013),7.7,72,448095,"
    After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",77.0
2487,Pacific Rim,(2013),6.9,65,447394,"
    As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",69.0
2488,The Great Gatsby,(2013),7.3,55,439574,"
    A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",73.0
2489,American Hustle,(2013),7.2,90,422113,"
    A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",72.0
2490,Dallas Buyers Club,(2013),8.0,84,407024,"
    In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",80.0
2491,The Wolverine,(2013),6.7,61,406435,"
    Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",67.0
2492,The Conjuring,(2013),7.5,68,405627,"
    Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.",75.0
2493,Elysium,(I) (2013),6.6,61,399435,"
    In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",66.0
2494,Rush,(I) (2013),8.1,75,398597,"
    The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.",81.0
2495,Captain Phillips,(2013),7.8,83,391776,"
    The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",78.0
2496,We're the Millers,(2013),7.0,44,375874,"
    A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.",70.0
2497,This Is the End,(2013),6.6,67,364244,"
    6 Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",66.0
2498,Fast & Furious 6,(2013),7.1,61,350565,"
    Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",71.0
2499,Despicable Me 2,(2013),7.4,62,348451,"
    When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",74.0
2500,Monsters University,(2013),7.3,65,296787,"
    A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.",73.0
2501,The Secret Life of Walter Mitty,(2013),7.3,54,277813,"
    When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",73.0
2502,The Hangover Part III,(2013),5.8,30,274595,"
    When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run.",58.0
2503,About Time,(I) (2013),7.8,55,269980,"
    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",78.0
2504,Lone Survivor,(2013),7.5,60,249431,"
    Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",75.0
2505,Snowpiercer,(2013),7.1,84,245965,"
    In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.",71.0
2506,Kick-Ass 2,(2013),6.5,41,241584,"
    Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.",65.0
2507,The World's End,(2013),7.0,81,239605,"
    Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.",70.0
2508,Olympus Has Fallen,(2013),6.5,41,239440,"
    Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",65.0
2509,Don Jon,(2013),6.5,66,218009,"
    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",65.0
2510,Escape Plan,(2013),6.7,49,214277,"
    When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",67.0
2511,Ender's Game,(2013),6.6,51,213307,"
    Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",66.0
2512,The Lone Ranger,(2013),6.4,37,210603,"
    Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",64.0
2513,Warm Bodies,(2013),6.9,60,210173,"
    After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",69.0
2514,Gangster Squad,(2013),6.7,40,197067,"
    It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",67.0
2515,White House Down,(2013),6.4,52,194123,"
    While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",64.0
2516,The Wolf of Wall Street,(2013),8.2,75,1054858,"
    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",82.0
2517,Gravity,(2013),7.7,96,719102,"
    Two astronauts work together to survive after an accident leaves them stranded in space.",77.0
2518,Iron Man 3,(2013),7.2,62,704554,"
    When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",72.0
2519,Man of Steel,(2013),7.1,55,654166,"
    Clark Kent is an alien who as a child was evacuated from his dying world and came to Earth, living as a normal human. But when survivors of his alien home invade Earth, he must reveal himself to the world.",71.0
2520,12 Years a Slave,(2013),8.1,96,585191,"
    In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",81.0
2521,The Hunger Games: Catching Fire,(2013),7.5,76,580789,"
    Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.",75.0
2522,The Hobbit: The Desolation of Smaug,(2013),7.8,66,570353,"
    The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",78.0
2523,World War Z,(2013),7.0,63,560191,"
    Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",70.0
2524,Now You See Me,(I) (2013),7.3,50,558922,"
    An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",73.0
2525,Thor: The Dark World,(2013),6.9,54,551424,"
    When Dr. Jane Foster (Natalie Portman) gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",69.0
2526,Prisoners,(2013),8.1,74,535975,"
    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",81.0
2527,Frozen,(I) (2013),7.5,74,523808,"
    When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",75.0
2528,Her,(2013),8.0,90,476240,"
    In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",80.0
2529,Oblivion,(I) (2013),7.0,54,458881,"
    A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.",70.0
2530,Star Trek Into Darkness,(2013),7.7,72,448095,"
    After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",77.0
2531,Pacific Rim,(2013),6.9,65,447394,"
    As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",69.0
2532,The Great Gatsby,(2013),7.3,55,439574,"
    A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",73.0
2533,American Hustle,(2013),7.2,90,422113,"
    A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",72.0
2534,Dallas Buyers Club,(2013),8.0,84,407024,"
    In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",80.0
2535,The Wolverine,(2013),6.7,61,406435,"
    Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",67.0
2536,The Conjuring,(2013),7.5,68,405627,"
    Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.",75.0
2537,Elysium,(I) (2013),6.6,61,399435,"
    In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",66.0
2538,Rush,(I) (2013),8.1,75,398597,"
    The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.",81.0
2539,Captain Phillips,(2013),7.8,83,391776,"
    The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",78.0
2540,We're the Millers,(2013),7.0,44,375874,"
    A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.",70.0
2541,This Is the End,(2013),6.6,67,364244,"
    6 Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",66.0
2542,Fast & Furious 6,(2013),7.1,61,350565,"
    Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",71.0
2543,Despicable Me 2,(2013),7.4,62,348451,"
    When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",74.0
2544,Monsters University,(2013),7.3,65,296787,"
    A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.",73.0
2545,The Secret Life of Walter Mitty,(2013),7.3,54,277813,"
    When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",73.0
2546,The Hangover Part III,(2013),5.8,30,274595,"
    When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run.",58.0
2547,About Time,(I) (2013),7.8,55,269980,"
    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",78.0
2548,Lone Survivor,(2013),7.5,60,249431,"
    Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",75.0
2549,Snowpiercer,(2013),7.1,84,245965,"
    In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.",71.0
2550,Kick-Ass 2,(2013),6.5,41,241584,"
    Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.",65.0
2551,The World's End,(2013),7.0,81,239605,"
    Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.",70.0
2552,Olympus Has Fallen,(2013),6.5,41,239440,"
    Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",65.0
2553,Don Jon,(2013),6.5,66,218009,"
    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",65.0
2554,Escape Plan,(2013),6.7,49,214277,"
    When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",67.0
2555,Ender's Game,(2013),6.6,51,213307,"
    Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",66.0
2556,The Lone Ranger,(2013),6.4,37,210603,"
    Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",64.0
2557,Warm Bodies,(2013),6.9,60,210173,"
    After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",69.0
2558,Gangster Squad,(2013),6.7,40,197067,"
    It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",67.0
2559,White House Down,(2013),6.4,52,194123,"
    While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",64.0
2560,Interstellar,(2014),8.6,74,1326176,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",86.0
2561,Guardians of the Galaxy,(2014),8.1,76,968521,"
    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.",81.0
2562,Gone Girl,(2014),8.1,79,774613,"
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",81.0
2563,Captain America: The Winter Soldier,(2014),7.8,70,679492,"
    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",78.0
